JOB_TYPE,DEPTH_M,DIAMETER_MM,MATERIAL,LENGTH_M,JOB_COST
1,1.45,90,0,38.31,4394.91935
1,1.97,90,2,33.99,7243.486603
1,3.24,200,0,18.81,20477.679640000002
1,3.61,90,1,26.16,13005.100620000001
1,1.96,90,1,35.42,6763.990965000001
1,2.58,125,2,27.89,13013.36963
1,3.36,125,1,18.1,12043.12423
1,3.9,125,0,24.74,20342.73728
1,1.76,125,0,21.68,5954.158663
1,2.24,50,1,13.67,2644.297513
0,3.9,125,0,38.31,6561.848726
0,2.11,250,1,37.35,15630.648490000001
1,2.25,90,0,23.32,7238.181718000001
1,2.08,90,0,31.27,7907.231093
1,2.11,250,0,12.17,12849.60074
1,3.12,90,2,20.24,10144.492909999999
0,3.36,50,0,27.45,2697.726414
0,1.71,63,2,14.43,1749.84168
1,1.62,63,0,16.38,3009.949632
1,3.9,90,2,18.75,11612.6348
0,2.82,125,0,15.81,4035.387073
1,2.1,63,1,31.63,5014.426187
1,3.9,90,0,21.24,16945.59143
1,2.85,250,1,32.37,22423.13485
1,3.15,250,0,17.44,22423.13485
1,2.89,50,1,18.99,4788.836289
1,2.46,250,0,17.56,22423.13485
1,2.27,90,1,38.31,8752.346497
1,3.29,63,0,24.63,8002.115028
0,3.9,125,0,19.15,5447.0157039999995
0,2.26,125,0,36.64,3849.921722
0,1.75,63,0,12.17,1749.84168
1,3.3,250,2,27.73,22423.13485
1,3.9,90,0,38.31,15848.260409999999
1,1.67,90,1,12.82,3502.987149
1,3.41,63,1,32.52,8912.313376
0,2.49,200,0,28.33,6053.926375999999
1,1.92,90,0,22.99,6080.360372
1,1.59,90,0,16.01,4357.398387
1,2.15,63,1,25.74,5655.206438
1,3.57,200,0,24.01,22423.13485
1,2.25,200,0,27.05,17501.439430000002
1,3.06,125,2,24.59,14022.14153
1,3.9,90,0,22.73,16257.36145
1,1.88,125,2,27.31,8959.612634000001
0,2.76,125,2,29.34,4613.793073
1,3.9,90,1,26.69,12035.71698
0,1.96,250,1,19.0,11026.78666
1,1.49,90,0,31.3,5466.796946
1,3.2,125,2,20.07,13304.730759999999
1,3.68,90,1,13.22,10200.61853
0,3.15,90,0,21.6,3727.726401
1,1.81,125,0,31.06,9870.812344
0,2.65,250,1,16.23,7442.248788
0,2.47,250,0,18.9,8409.4364
1,1.91,90,0,12.17,3550.5484049999995
1,2.54,90,2,12.17,6155.3716
1,1.98,250,0,12.17,15618.80298
1,3.24,125,1,38.31,22423.13485
1,3.49,90,1,26.78,12995.080259999999
1,3.17,125,0,23.83,15042.586780000001
1,3.39,90,1,25.92,11685.150309999999
1,1.45,63,0,21.98,2566.9791969999997
1,3.47,250,1,12.28,22423.13485
1,1.96,90,0,17.56,5524.84695
1,2.92,250,0,23.8,22423.13485
0,1.7,63,0,38.31,1749.84168
1,3.9,200,2,37.27,22423.13485
1,2.03,90,0,22.37,6909.215969
1,2.18,250,0,18.82,22423.13485
1,1.88,250,0,26.25,21200.42372
1,2.64,90,0,36.29,9682.7099
1,2.66,90,1,29.68,8412.53732
1,2.64,250,2,12.17,19038.24455
1,2.35,125,0,26.67,11428.68345
0,3.01,200,0,12.36,5804.695875
1,2.74,63,0,38.31,8542.567012000001
1,2.01,200,0,38.31,16832.05197
1,2.72,125,0,34.89,13577.63348
1,1.45,125,0,38.31,6751.749742
1,1.69,90,0,19.75,5301.686508
1,2.23,125,2,21.78,9357.499681000001
0,1.79,200,0,25.75,4884.701554
1,3.68,200,0,37.17,22423.13485
1,3.37,63,0,36.15,8543.735675
1,2.0,250,0,38.31,21433.757569999998
1,2.07,90,0,19.05,6847.444181999999
1,3.23,200,2,24.95,19420.20135
1,2.88,63,0,16.05,5764.992182999999
0,2.25,90,2,29.05,2477.908161
1,3.72,200,0,13.66,17118.31289
1,1.97,250,0,31.47,22423.13485
1,1.45,90,1,16.63,3584.2546030000003
0,1.65,125,0,23.99,2761.603565
0,2.04,50,2,38.02,1749.84168
1,2.14,90,0,38.31,9015.582975
1,1.45,90,0,38.31,4670.09888
1,2.15,250,0,28.97,22423.13485
1,2.1,90,1,30.91,8215.160503000001
1,3.59,63,0,33.21,9431.280289
0,2.72,250,1,32.56,11409.644629999999
1,1.45,125,1,33.7,6267.583981000001
1,2.91,90,0,38.31,9712.68099
1,1.93,90,0,22.09,5661.890606
1,3.86,63,1,38.31,10804.17472
1,3.9,63,0,38.31,9347.611020999999
0,3.9,63,0,36.08,3655.776264
1,2.72,63,0,33.61,6690.733958
1,3.9,250,2,12.23,22423.13485
0,2.41,90,2,21.42,2897.160585
1,1.45,90,1,22.69,3499.0763939999997
1,2.15,200,2,21.97,15696.76176
0,2.1,90,0,26.58,2756.379191
1,2.76,63,1,29.05,5968.933385
1,3.9,200,0,30.62,22423.13485
1,2.61,63,0,35.68,6680.1290340000005
0,2.55,200,2,17.42,5080.431901
1,2.11,200,1,22.16,13593.10129
0,2.87,90,0,19.93,2937.5334190000003
1,2.7,63,0,25.05,5531.344303
1,1.69,250,0,23.95,17062.46764
0,3.9,250,1,30.93,17287.956130000002
1,2.17,50,0,38.31,5179.993068
1,3.67,90,0,18.62,11417.66535
1,2.09,63,0,24.57,4469.870264
1,3.9,50,0,32.33,7887.9576799999995
1,2.14,125,0,23.12,8747.233073000001
1,1.57,90,0,38.31,6419.375043999999
0,2.72,90,2,38.31,3348.436956
1,2.41,90,1,20.61,5759.9948079999995
1,2.87,250,2,15.11,20669.016669999997
1,2.2,90,0,27.48,7541.73685
1,2.1,90,0,23.31,7374.784062999999
1,2.87,50,1,20.9,4963.713842
0,2.43,125,0,17.25,3172.1207280000003
0,2.09,90,0,36.23,2747.951648
0,3.48,125,0,22.51,4642.205952
1,1.45,90,0,18.1,3632.0864579999998
1,3.1,125,1,36.75,16288.324190000001
1,1.76,90,0,25.14,6962.1877269999995
1,3.9,200,0,24.54,22423.13485
1,3.02,250,1,38.31,22423.13485
0,1.7,63,0,12.17,1749.84168
1,3.45,90,2,13.27,8850.891065
1,1.82,90,0,38.1,6870.420844
1,3.58,200,1,22.32,22423.13485
1,1.99,125,0,38.31,9763.798822
1,3.08,200,0,12.17,12046.44745
1,2.91,125,0,38.31,15468.67591
0,3.47,250,2,27.03,19458.06223
0,2.08,125,0,21.02,3693.1969649999996
1,2.83,250,0,19.82,22423.13485
1,1.82,90,0,26.68,6396.044268
1,2.52,125,0,35.94,13219.029129999999
1,1.45,125,2,38.2,22423.13485
0,3.53,90,1,35.19,4650.6117460000005
1,3.18,63,2,33.26,7487.133620999999
0,2.03,90,0,22.32,2250.277668
0,3.9,63,0,13.1,2707.269625
1,3.06,250,0,30.7,22423.13485
1,1.73,90,0,38.31,7842.810789
1,3.27,125,0,24.32,15762.45336
1,3.07,90,1,13.79,6784.339381000001
1,1.7,125,0,16.65,6002.037806
1,3.9,63,0,30.21,9209.079734
1,1.61,63,1,14.74,2471.235699
1,2.87,90,2,30.37,11288.22147
1,3.58,250,0,23.2,22423.13485
1,2.18,63,1,31.78,6072.8757780000005
1,1.64,125,0,25.74,6774.43971
1,2.77,200,0,12.17,13029.09232
1,3.56,200,0,28.48,22423.13485
0,3.6,250,0,17.99,15604.3141
1,3.31,90,0,20.75,9133.178375
1,1.45,90,0,28.91,4457.627001
0,2.66,63,1,31.16,1959.895569
1,2.09,90,0,15.87,5419.900928
0,1.99,250,0,26.57,6242.797759
1,2.93,90,0,13.17,7010.280392000001
1,2.52,90,0,38.25,10470.27701
1,2.08,63,2,22.35,4739.481554999999
0,1.7,200,2,22.25,3769.9179289999997
1,2.8,200,1,29.26,22423.13485
1,2.22,50,1,34.46,4635.097392000001
1,3.9,63,0,17.44,8620.644255
1,2.67,90,2,30.65,8862.675075
1,2.02,90,1,25.98,7180.217698
1,2.5,50,2,14.89,3720.734117
1,1.45,90,0,28.94,2929.175671
1,1.94,250,0,31.73,22423.13485
1,3.16,200,1,23.55,20453.33775
0,2.13,63,0,37.15,2208.024307
1,3.34,90,1,32.56,13537.69096
1,2.32,63,0,30.45,6502.245838
1,1.45,50,1,23.94,2554.780573
0,2.68,200,0,23.2,6906.375456000001
1,1.72,90,0,28.99,6051.727457
1,1.77,250,0,37.12,18756.37822
1,2.84,63,0,27.3,6426.94593
0,2.27,50,2,37.32,1749.84168
1,2.04,200,0,17.09,14018.13241
1,2.39,125,1,26.09,11677.254009999999
1,3.9,50,2,17.11,6139.729386999999
1,3.9,90,0,12.17,9739.409
1,2.11,200,0,17.67,14613.15041
1,2.33,90,0,16.45,6739.563776000001
0,2.97,50,2,36.61,2276.401655
0,2.43,63,0,26.06,2213.2718809999997
1,1.45,125,0,20.18,5070.498645000001
0,3.49,125,2,27.57,6372.5430289999995
1,3.53,50,0,22.24,5968.77859
1,1.96,125,1,19.97,8495.427770999999
0,1.6,250,1,12.17,3897.504414
0,1.7,90,0,17.4,1749.84168
1,3.7,90,2,19.61,10146.94391
1,2.09,200,0,17.51,10752.110279999999
1,2.29,90,0,12.17,5356.794470000001
1,3.32,250,1,34.95,22423.13485
1,2.11,125,0,21.81,8244.118293000001
1,1.85,63,1,12.17,2476.276088
1,1.58,90,1,16.41,4348.797546
1,3.33,250,0,17.43,22423.13485
1,1.58,250,1,30.58,16930.8654
1,1.96,125,1,29.83,8551.700271
0,3.48,90,0,15.36,3198.390813
1,2.51,90,2,21.18,8331.118972
0,3.9,125,0,21.55,6891.9376409999995
1,2.02,90,0,35.69,7717.436589
1,3.9,125,1,13.04,17967.52597
1,2.15,63,0,23.85,5231.2276600000005
0,2.02,90,0,29.94,2795.1848210000003
1,2.08,250,1,12.17,11946.82164
1,2.77,63,0,30.36,6097.635614
1,2.65,63,0,23.87,6685.393331
1,3.64,125,0,19.75,14103.817
1,3.52,90,1,13.91,9396.261277
1,3.52,90,0,21.19,9588.849696
1,3.9,50,0,17.59,7654.227784999999
1,1.56,90,0,35.5,6600.539411
0,3.74,250,2,12.17,8019.622404000001
1,1.7,250,1,24.18,16278.68749
1,3.35,50,2,14.93,5811.191661
1,2.66,90,0,35.41,8552.346088
1,3.83,90,2,38.31,17310.67935
1,3.23,63,2,24.73,7495.402681999999
0,1.47,63,0,12.46,1749.84168
1,2.28,200,0,13.58,15579.74654
1,2.88,125,0,13.57,10897.61841
1,2.99,63,2,22.98,6657.441625
1,2.33,250,0,37.98,22423.13485
1,2.34,50,2,14.47,3447.750054
1,2.43,250,0,38.31,22423.13485
0,2.67,50,0,12.17,1749.84168
0,2.59,63,0,32.33,2200.423343
1,2.97,125,2,21.32,12646.1526
1,3.9,125,0,16.8,16636.21833
0,2.5,250,1,12.17,6384.713993
1,2.38,200,0,25.38,15086.88858
1,3.44,90,2,31.51,9659.340924
1,1.91,90,1,18.66,4991.156113
1,2.15,200,0,28.23,15952.571880000001
1,1.52,200,2,38.31,12271.77008
0,1.6,63,0,25.96,1749.84168
0,2.39,63,0,14.45,1749.84168
0,1.65,125,2,12.17,1791.6394739999998
0,2.58,63,1,38.31,2252.460982
1,3.88,125,1,36.72,22423.13485
0,2.39,125,0,23.32,3781.219356
1,1.53,200,0,26.62,11218.35861
1,3.02,90,0,20.33,7243.061137999999
1,3.9,50,0,23.48,7391.2576659999995
1,2.35,63,1,35.85,5918.15414
1,2.52,250,0,13.73,22423.13485
0,1.67,63,0,37.21,1749.84168
0,2.26,250,2,20.92,7918.301562000001
1,2.93,63,0,24.34,6105.527494
1,1.96,125,0,30.89,10404.40579
1,3.22,125,0,27.74,13271.3875
1,3.26,250,1,34.63,22423.13485
1,3.31,90,0,31.83,10266.54054
1,3.9,63,2,38.31,11780.49096
1,2.84,63,2,20.39,5289.511628
1,2.56,63,1,17.14,4662.044304999999
0,2.17,63,0,29.85,2161.316708
0,3.9,63,1,24.96,3663.658064
0,3.9,90,0,38.31,5460.524326
0,3.9,125,0,29.91,6827.564231
1,2.5,125,2,22.66,9558.814713
0,3.49,200,2,33.54,11299.95079
1,3.9,250,0,16.63,22423.13485
1,3.43,90,0,16.2,7989.625470999999
1,3.8,125,0,17.18,13244.5131
0,2.71,250,0,20.68,7997.802387000001
1,3.06,125,0,23.81,15177.567009999999
1,2.09,90,0,25.24,6332.7687399999995
1,3.36,125,0,31.57,16867.26796
1,1.84,200,1,28.71,13233.82001
1,1.45,125,0,38.31,7073.909199
1,3.07,90,0,31.28,12059.1699
1,2.32,63,1,13.53,4147.06704
0,2.07,90,1,20.0,2014.203396
1,1.75,50,1,16.47,3356.910667
0,1.75,250,2,21.84,6722.529394
0,3.07,90,0,33.28,4150.377332
1,3.5,200,1,12.45,18610.68836
1,2.72,90,2,14.63,5800.069377000001
0,2.02,63,1,37.21,1749.84168
1,1.98,90,2,32.34,6680.327244
1,2.07,125,1,21.59,8723.610085
1,2.91,63,1,19.35,6159.866540999999
1,3.31,50,2,12.17,3300.220308
0,2.39,90,0,20.43,2601.278774
1,3.14,200,0,31.54,22423.13485
1,1.96,200,2,21.67,13051.32559
0,1.6,90,0,12.17,1749.84168
0,3.22,63,1,19.3,2017.1425199999999
1,2.05,90,0,32.56,7173.356395000001
1,2.53,250,2,38.31,22423.13485
1,3.9,63,1,31.92,10305.95955
1,1.75,250,0,21.7,16773.95388
0,2.42,250,0,20.52,9615.222248
1,1.65,50,0,38.31,3382.272942
1,2.9,250,0,15.13,19496.712030000002
1,3.43,250,2,12.17,19115.1108
1,1.6,90,2,28.94,5852.404151
0,2.38,125,0,38.31,4325.957674
1,3.82,63,0,34.74,11641.67456
1,2.39,90,1,32.63,7828.780605
0,2.45,90,0,18.01,2475.6428140000003
0,3.69,125,1,21.06,6163.151742
1,2.72,63,0,22.91,5585.659627
0,1.81,200,1,18.19,4348.115422999999
1,3.12,125,1,24.13,13696.4376
1,3.9,200,0,15.43,19032.23096
1,2.96,63,0,12.17,4306.345929
1,3.9,125,0,34.06,19498.6519
1,2.27,250,1,27.86,21533.277019999998
1,1.47,250,0,20.69,11968.62776
1,2.14,50,2,32.8,3725.0099560000003
0,3.9,250,1,37.38,22423.13485
0,1.94,250,2,25.56,7723.254531999999
1,2.07,125,0,12.17,5678.789793999999
0,3.9,250,1,12.17,10307.53519
1,2.27,50,2,19.69,3607.7562299999995
1,3.9,90,2,38.31,18283.892209999998
1,3.09,90,2,32.19,11885.888640000001
0,2.4,200,1,26.27,6374.294739
1,2.7,200,0,28.74,20828.41346
1,1.67,200,0,13.93,10728.685140000001
1,2.05,90,1,17.45,5448.562198
1,2.16,63,0,30.62,5289.136546
0,1.8,90,0,24.13,2255.966514
1,3.79,250,2,30.62,22423.13485
1,3.15,250,0,25.48,22423.13485
0,2.33,200,0,23.07,5916.28406
1,2.98,90,0,31.22,11398.919109999999
1,1.78,250,1,17.55,15198.03537
1,3.21,90,2,27.84,12085.886859999999
0,3.8,125,2,18.87,5736.854792
1,2.09,90,1,26.79,7135.20122
0,2.28,63,1,20.84,1806.675248
1,2.29,200,2,34.53,16819.041540000002
1,2.49,90,2,37.39,9028.242383
1,3.16,250,2,24.73,22423.13485
0,1.66,200,0,20.93,4111.012043
1,3.9,125,0,22.9,15210.830730000001
1,2.49,200,0,12.17,12440.168020000001
1,3.18,125,0,25.56,14843.79019
1,2.51,63,0,17.36,3854.915733
1,2.87,50,1,31.34,5341.872789
1,1.45,125,1,38.31,5834.501515999999
1,1.45,250,2,13.21,16748.81471
0,3.9,200,2,38.31,13858.179880000002
1,3.9,125,0,23.11,16797.39928
1,3.35,125,0,20.13,14253.492230000002
1,3.83,63,1,15.33,6580.480541
1,1.85,250,0,23.75,19300.14051
0,3.37,125,0,26.93,6237.44155
1,3.9,200,0,38.31,22423.13485
0,2.0,63,1,19.49,1749.84168
1,3.9,200,0,14.46,21711.146
1,2.2,63,1,12.49,3460.785393
1,3.9,200,0,21.32,22423.13485
1,1.82,63,0,15.4,3183.736592
1,3.39,90,0,16.16,10554.26317
0,2.88,125,1,24.64,4287.894724
0,3.39,90,0,38.31,4712.860215
1,1.56,63,0,25.96,3984.3118259999997
1,2.96,125,1,16.39,12344.70982
0,3.75,125,0,16.46,4591.082736
1,2.59,250,1,22.8,22423.13485
1,1.9,63,0,21.24,4029.5961450000004
0,3.89,50,2,19.62,2586.649687
1,3.39,63,2,27.63,9544.146278
1,1.45,63,0,16.87,2010.193347
1,1.84,63,1,16.69,2912.8957149999997
1,2.97,63,0,23.33,5441.416503
1,3.27,90,1,34.5,12528.84509
1,1.55,90,1,35.44,6026.158178
1,3.13,63,1,15.7,6099.869632
1,1.45,63,1,18.61,2986.3036829999996
1,2.33,250,1,27.26,22423.13485
1,2.16,125,0,19.96,8830.460159999999
0,2.97,125,1,16.07,3968.62556
1,3.9,125,0,22.0,15335.107730000002
0,1.71,250,0,12.17,4184.29991
1,2.41,200,2,24.64,17361.14031
1,1.9,63,0,32.46,4496.28278
0,2.47,90,1,15.47,2568.190438
1,2.29,125,2,21.42,10855.57349
1,2.03,125,1,15.58,8592.00272
1,1.65,50,0,15.16,2228.572289
1,2.07,63,2,32.56,5118.089940999999
1,2.9,90,0,38.31,10467.063740000001
1,1.45,63,1,33.95,3207.012374
1,2.56,200,1,26.44,17727.26115
0,2.08,90,2,36.15,2952.718039
1,1.9,250,1,38.31,22423.13485
1,2.59,125,0,22.83,12085.32101
0,3.1,125,1,12.17,4264.188434000001
1,2.28,90,0,29.12,8130.923279000001
1,2.1,250,1,38.31,22423.13485
0,1.45,125,2,14.14,1749.84168
1,1.73,90,1,28.45,5574.257
1,1.96,125,2,15.5,7804.29769
1,2.78,90,2,34.51,8174.53387
1,2.4,90,0,38.31,10403.34967
1,2.81,200,0,38.31,22423.13485
0,3.64,50,0,20.93,1749.84168
1,2.45,200,0,14.61,15123.68667
0,2.09,90,0,37.19,2821.08159
1,2.67,63,0,19.31,6723.175043000001
0,1.9,200,0,20.52,4766.289062
1,2.04,90,1,29.92,6965.776445
1,2.89,90,0,22.77,8744.623173
1,2.06,90,1,22.04,5795.717025999999
1,2.67,250,0,34.87,22423.13485
1,2.73,63,1,12.17,4821.057235
1,2.19,63,1,33.81,6141.995605
1,2.72,200,1,20.92,17005.23098
1,2.1,63,1,30.25,4549.082251
1,2.89,90,0,14.27,5939.796529
1,3.76,125,0,12.17,9832.830119
1,1.45,250,0,26.42,11972.252690000001
1,1.78,200,0,32.47,17271.969380000002
1,2.14,90,2,31.51,7846.20551
1,3.9,90,1,38.31,18449.54221
1,3.48,90,1,33.31,14049.82635
1,1.49,90,1,23.24,4094.6412479999995
1,2.28,125,0,13.45,6848.044173
1,1.94,200,0,32.7,13799.479630000002
0,3.9,90,1,30.23,5737.91385
1,1.83,63,0,19.93,4370.419362
1,3.18,250,1,35.9,22423.13485
1,2.34,63,0,20.47,5009.0181600000005
0,2.49,250,1,38.31,13629.45481
1,1.87,250,0,12.17,11916.32308
1,2.19,125,1,38.31,12773.75936
0,2.73,63,1,12.17,1749.84168
1,1.66,250,0,24.59,13188.54565
0,3.9,63,2,33.64,4300.29088
1,2.01,90,2,38.31,7668.676885
1,2.61,63,2,17.66,4771.618401
1,1.93,50,2,35.09,4032.2179079999996
0,2.83,90,0,14.71,2393.019104
1,3.66,50,1,34.16,6375.633995
1,3.02,63,0,21.88,7721.67645
1,2.15,200,2,38.31,21650.387280000003
1,3.9,63,1,38.3,9740.980106
1,2.84,90,2,25.23,9938.528279
1,1.91,250,1,15.08,15136.04451
1,2.64,250,1,38.31,22423.13485
1,2.48,250,1,15.05,17839.92526
1,1.88,63,2,38.31,5714.337561
1,2.17,250,0,27.05,22423.13485
1,1.71,63,1,32.88,3979.168408
1,3.17,50,1,29.42,6375.653457
0,1.45,90,1,16.67,1749.84168
