JOB_ID,JOB_TYPE,DEPTH_M,DIAMETER_MM,MATERIAL,LENGTH_M,JOB_COST
Job 45,Repair,3.02,50,CI,23.91,1849.979023
Job 46,Repair,2.87,125,AC,15.13,3865.817271
Job 47,Replace,1.33,200,AC,34.31,10155.47528
Job 48,Replace,1.23,50,AC,22.74,2473.429417
Job 49,Replace,3.55,125,AC,30.41,18469.6613
Job 50,Replace,2.58,90,AC,13.8,8089.005343
Job 51,Replace,2.95,200,CI,18.24,19848.33188
Job 52,Replace,2.28,250,CI,39.7,23694.54283
Job 53,Replace,2.98,125,AC,32.55,16971.92218
Job 54,Replace,4,90,ST,19.52,11620.26721
Job 55,Repair,1.47,125,AC,17.32,1721.182334
Job 56,Repair,2.28,125,CI,14.83,2803.471216
Job 57,Repair,2.85,250,ST,29.25,10926.007
Job 58,Replace,3.63,315,CI,34.22,48417.09338
Job 59,Replace,1.94,63,AC,22.01,4850.740992
Job 60,Replace,1.88,90,CI,15.09,4846.676321
Job 61,Replace,3.04,63,CI,40.09,9736.08112
Job 62,Replace,3.94,125,CI,20.3,18974.06892
Job 63,Replace,4.07,63,AC,35.32,9026.310432
Job 64,Repair,2.26,90,AC,36.66,3602.471226
Job 65,Replace,3.74,63,ST,18.24,6107.779428
Job 66,Replace,2.2,50,ST,25.28,3586.980852
Job 67,Replace,4.47,90,AC,22.5,13983.18133
Job 68,Replace,1.47,90,AC,44.04,NA
Job 69,Replace,4.06,90,ST,45.7,15121.20047
Job 70,Replace,2.71,200,ST,28.76,20299.41945
Job 71,Replace,3.29,125,AC,13.39,9305.373197
Job 72,Replace,1.54,63,CI,36.24,4546.611155
Job 73,Replace,2.26,125,CI,15.68,8458.305249
Job 74,Replace,2.43,50,AC,18.76,3887.933958
Job 75,Replace,2.78,50,CI,26.18,5417.696612
Job 76,Replace,2.41,63,ST,17.39,4816.647272
Job 77,Replace,1.74,90,AC,21.04,4962.791716
Job 78,Repair,2.96,90,AC,21.34,2992.627377
Job 79,Replace,3.01,125,AC,39.04,14025.79495
Job 80,Repair,1.69,50,CI,17.13,914.5131469
Job 81,Repair,3.33,63,ST,26.85,3164.26224
Job 82,Replace,3.97,63,ST,19.27,8678.999619
Job 83,Replace,2.43,90,CI,27.48,9669.882307
Job 84,Replace,2.28,250,ST,32.28,20934.56029
Job 85,Replace,2.48,125,AC,16.45,9378.035264
Job 86,Replace,3.49,200,AC,17.59,21254.39061
Job 87,Replace,3.25,125,AC,43.28,17270.89514
Job 88,Replace,4.3,450,CI,38.74,85860.133
Job 89,Replace,3.59,50,AC,34.46,8681.307588
Job 90,Replace,2.4,125,CI,18.06,9445.388623
Job 91,Replace,1.67,90,AC,22.98,5530.159566
Job 92,Replace,3.59,63,AC,27.39,9485.710006
Job 93,Replace,2.68,250,AC,15.02,23031.51832
Job 94,Replace,2.81,50,AC,34.16,7163.229939
Job 95,Repair,2.51,200,ST,36.47,8161.196939
Job 96,Repair,2.04,90,AC,17.61,2080.916693
Job 97,Repair,2.33,63,CI,16.33,1709.497348
Job 98,Replace,3.92,90,CI,32.4,15098.68441
Job 99,Repair,4.39,250,CI,12.4,10058.87424
Job 100,Repair,1.37,90,AC,15.4,1097.338278
Job 101,Repair,2.39,63,AC,16.16,1511.332204
Job 102,Replace,3.61,50,AC,11.59,4582.118613
Job 103,Replace,2.86,125,ST,20.97,NA
Job 104,Repair,4.14,63,AC,20,3348.538353
Job 105,Replace,3.23,50,ST,39.58,6679.716127
Job 106,Replace,3.11,315,AC,36.53,48306.1919
Job 107,Replace,1.87,125,CI,34.42,8545.754406
Job 108,Repair,3.42,90,CI,33.97,3470.999666
Job 109,Replace,2.7,250,CI,44.04,31394.23787
Job 110,Replace,2.51,63,AC,20.21,6149.005506
Job 111,Replace,3.05,125,ST,22.76,11925.49401
Job 112,Replace,2.9,125,AC,33.79,15055.31721
Job 113,Repair,2.7,90,AC,23.01,3036.672142
Job 114,Repair,2.42,90,AC,15.08,1636.005987
Job 115,Repair,3.31,125,AC,22.4,3946.311144
Job 116,Replace,4.28,50,AC,20.8,8044.603327
Job 117,Replace,2.19,125,AC,29.44,11330.57577
Job 118,Replace,3.97,250,ST,32.92,36139.48112
Job 119,Replace,3.17,200,CI,28.32,20578.46449
Job 120,Replace,4.32,315,AC,16.67,38368.85871
Job 121,Repair,3.47,125,AC,29.01,5347.000857
Job 122,Replace,2.16,250,CI,34.41,26370.57711
Job 123,Repair,2.15,90,AC,21.51,2532.795678
Job 124,Replace,2.04,90,ST,12.1,4780.497469
Job 125,Repair,1.96,315,AC,39.97,10438.20873
Job 126,Replace,3.19,63,AC,17.92,6553.998005
Job 127,Repair,3.29,250,CI,24.22,9759.291352
Job 128,Replace,4.39,90,ST,17.18,10233.78171
Job 129,Replace,2.82,250,CI,41.9,28007.54805
Job 130,Replace,3.42,125,AC,18.31,12818.85971
Job 131,Replace,2.37,63,AC,32.48,5866.19688
Job 132,Replace,2.74,63,AC,19.64,5485.320002
Job 133,Repair,1.41,125,CI,39,2624.679092
Job 134,Replace,2.19,450,CI,18.82,27822.32796
Job 135,Replace,2.55,90,ST,16.88,5423.74637
Job 136,Replace,2.07,63,AC,32.44,5047.359976
Job 137,Replace,2.64,50,AC,14.18,4061.540932
Job 138,Replace,1.89,90,AC,25.57,5716.516701
Job 139,Replace,2.58,125,AC,24.25,12139.62549
Job 140,Repair,3.66,125,CI,11.12,3854.505629
Job 141,Replace,4.64,63,AC,25.66,12666.53691
Job 142,Replace,4.09,63,CI,28.06,10562.97621
Job 143,Repair,3.22,200,AC,34.92,11092.57447
Job 144,Repair,2.69,250,CI,38.76,9898.173324
Job 145,Replace,1.69,200,ST,16.63,10466.52103
Job 146,Replace,3.14,200,AC,30.64,19918.69921
Job 147,Repair,2.41,50,ST,40.71,1975.851779
Job 148,Replace,4.32,200,AC,26.48,26003.93253
Job 149,Repair,1.28,250,AC,10.7,2747.428036
Job 150,Repair,2.29,63,CI,19.56,1331.019841
Job 151,Replace,1.27,200,AC,17.88,8507.866645
Job 152,Repair,2.62,90,AC,36.23,3311.38499
Job 153,Replace,2.24,63,AC,33.92,5257.879893
Job 154,Replace,2.31,90,CI,20.1,7037.554659
Job 155,Repair,2.33,50,CI,27.87,1681.001167
Job 156,Repair,1.83,125,ST,31.17,2574.895094
Job 157,Replace,2.29,63,AC,37.97,6968.321072
Job 158,Replace,2.31,90,AC,16.76,6363.736776
Job 159,Repair,1.71,63,AC,40.21,1271.527153
Job 160,Replace,2.96,250,AC,27.64,33403.91774
Job 161,Replace,2.83,90,AC,24.98,9145.436156
Job 162,Replace,1.26,63,ST,34.64,3102.120129
Job 163,Repair,2.23,125,CI,30.28,3328.775691
Job 164,Replace,1.8,200,AC,23.74,10085.39803
Job 165,Replace,3.58,63,AC,25.54,8540.425975
Job 166,Replace,2.99,90,CI,29.97,12298.62736
Job 167,Replace,4.21,63,CI,34.66,11960.54738
Job 168,Repair,2.65,90,AC,38.78,3817.682242
Job 169,Repair,2.31,63,CI,10.38,1348.438573
Job 170,Replace,3.03,250,ST,28.96,28130.38399
Job 171,Replace,1.9,250,ST,30.86,18858.77204
Job 172,Repair,2.86,90,AC,29.26,3185.364177
Job 173,Replace,3.6,90,AC,33.6,10590.22409
Job 174,Repair,2.55,125,ST,24.65,3640.01352
Job 175,Replace,2.39,90,ST,29.79,8531.007533
Job 176,Replace,2.33,90,AC,22.55,7581.444565
Job 177,Replace,2.24,90,AC,19.78,5604.914867
Job 178,Replace,1.76,125,CI,16.71,5860.665427
Job 179,Replace,2.9,90,AC,19.96,10255.4937
Job 180,Replace,1.81,63,AC,21.57,3121.895714
Job 181,Replace,1.64,90,AC,14,4182.539807
Job 182,Replace,3.43,90,CI,24.81,10439.35789
Job 183,Replace,3.42,50,CI,21.06,6642.817526
Job 184,Replace,2.95,200,AC,13.62,14556.46863
Job 185,Repair,2.8,125,CI,16.85,3816.017298
Job 186,Repair,3.71,90,AC,14.9,3973.875349
Job 187,Replace,1.92,450,AC,19.6,28762.93203
Job 188,Replace,3.72,90,ST,19.33,10832.50322
Job 189,Repair,3.17,63,CI,43.28,3065.565711
Job 190,Replace,3.59,63,ST,15.31,6570.563411
Job 191,Replace,3.77,125,AC,16.38,17204.85641
Job 192,Replace,3.41,90,AC,17.48,10215.48714
Job 193,Replace,1.91,63,CI,30.09,5236.76903
Job 194,Repair,2.96,90,AC,39.16,3901.683935
Job 195,Replace,2.77,125,ST,32.22,14850.41469
Job 196,Repair,1.88,90,AC,25.44,2186.319041
Job 197,Replace,1.68,315,AC,25.43,18254.83638
Job 198,Repair,2,250,CI,23.46,6212.334878
Job 199,Replace,2.66,90,AC,31.34,9308.218096
Job 200,Replace,1.35,90,AC,46.33,4394.91935
Job 201,Replace,1.97,90,ST,33.99,7243.486603
Job 202,Replace,3.24,200,AC,18.81,20477.67964
Job 203,Replace,3.61,90,CI,26.16,13005.10062
Job 204,Replace,1.96,90,CI,35.42,6763.990965
Job 205,Replace,2.58,125,ST,27.89,13013.36963
Job 206,Replace,3.36,125,CI,18.1,12043.12423
Job 207,Replace,4.24,125,AC,24.74,20342.73728
Job 208,Replace,1.76,125,AC,21.68,5954.158663
Job 209,Replace,2.24,50,CI,13.67,2644.297513
Job 210,Repair,3.97,125,AC,40.65,6561.848726
Job 211,Repair,2.11,450,CI,37.35,15630.64849
Job 212,Replace,2.25,90,AC,23.32,7238.181718
Job 213,Replace,2.08,90,AC,31.27,7907.231093
Job 214,Replace,2.11,250,AC,10.75,12849.60074
Job 215,Replace,3.12,90,ST,20.24,10144.49291
Job 216,Repair,3.36,50,AC,27.45,2697.726414
Job 217,Repair,1.71,63,ST,14.43,1013.431393
Job 218,Replace,1.62,63,AC,16.38,3009.949632
Job 219,Replace,3.9,90,ST,18.75,11612.6348
Job 220,Repair,2.82,125,AC,15.81,4035.387073
Job 221,Replace,2.1,63,CI,31.63,5014.426187
Job 222,Replace,4.6,90,AC,21.24,16945.59143
Job 223,Replace,2.85,250,CI,32.37,26944.99605
Job 224,Replace,3.15,250,AC,17.44,27079.90923
Job 225,Replace,2.89,50,CI,18.99,4788.836289
Job 226,Replace,2.46,315,AC,17.56,25617.84829
Job 227,Replace,2.27,90,CI,38.8,8752.346497
Job 228,Replace,3.29,63,AC,24.63,8002.115028
Job 229,Repair,4.54,125,AC,19.15,5447.015704
Job 230,Repair,2.26,125,AC,36.64,3849.921722
Job 231,Repair,1.75,63,AC,11.47,891.0199519
Job 232,Replace,3.3,450,ST,27.73,50217.93125
Job 233,Replace,3.9,90,AC,38.73,15848.26041
Job 234,Replace,1.67,90,CI,12.82,3502.987149
Job 235,Replace,3.41,63,CI,32.52,8912.313376
Job 236,Repair,2.49,200,AC,28.33,6053.926376
Job 237,Replace,1.92,90,AC,22.99,6080.360372
Job 238,Replace,1.59,90,AC,16.01,4357.398387
Job 239,Replace,2.15,63,CI,25.74,5655.206438
Job 240,Replace,3.57,200,AC,24.01,22809.55281
Job 241,Replace,2.25,200,AC,27.05,17501.43943
Job 242,Replace,3.06,125,ST,24.59,14022.14153
Job 243,Replace,4.56,90,AC,22.73,16257.36145
Job 244,Replace,1.88,125,ST,27.31,8959.612634
Job 245,Repair,2.76,125,ST,29.34,4613.793073
Job 246,Replace,4.24,90,CI,26.69,12035.71698
Job 247,Repair,1.96,450,CI,19,11026.78666
Job 248,Replace,1.49,90,AC,31.3,5466.796946
Job 249,Replace,3.2,125,ST,20.07,13304.73076
Job 250,Replace,3.68,90,CI,13.22,10200.61853
Job 251,Repair,3.15,90,AC,21.6,3727.726401
Job 252,Replace,1.81,125,AC,31.06,9870.812344
Job 253,Repair,2.65,315,CI,16.23,7442.248788
Job 254,Repair,2.47,315,AC,18.9,8409.4364
Job 255,Replace,1.91,90,AC,11.28,3550.548405
Job 256,Replace,2.54,90,ST,11.71,6155.3716
Job 257,Replace,1.98,315,AC,11.88,15618.80298
Job 258,Replace,3.24,125,CI,46.86,22529.43005
Job 259,Replace,3.49,90,CI,26.78,12995.08026
Job 260,Replace,3.17,125,AC,23.83,15042.58678
Job 261,Replace,3.39,90,CI,25.92,11685.15031
Job 262,Replace,1.21,63,AC,21.98,2566.979197
Job 263,Replace,3.47,315,CI,12.28,29183.75096
Job 264,Replace,1.96,90,AC,17.56,5524.84695
Job 265,Replace,2.92,250,AC,23.8,23314.48224
Job 266,Repair,1.7,63,AC,39.59,1639.835362
Job 267,Replace,4.06,200,ST,37.27,35657.97478
Job 268,Replace,2.03,90,AC,22.37,6909.215969
Job 269,Replace,2.18,450,AC,18.82,33259.45895
Job 270,Replace,1.88,315,AC,26.25,21200.42372
Job 271,Replace,2.64,90,AC,36.29,9682.7099
Job 272,Replace,2.66,90,CI,29.68,8412.53732
Job 273,Replace,2.64,315,ST,9.75,19038.24455
Job 274,Replace,2.35,125,AC,26.67,11428.68345
Job 275,Repair,3.01,200,AC,12.36,5804.695875
Job 276,Replace,2.74,63,AC,45.77,8542.567012
Job 277,Replace,2.01,200,AC,43.38,16832.05197
Job 278,Replace,2.72,125,AC,34.89,13577.63348
Job 279,Replace,1.14,125,AC,40.93,6751.749742
Job 280,Replace,1.69,90,AC,19.75,5301.686508
Job 281,Replace,2.23,125,ST,21.78,9357.499681
Job 282,Repair,1.79,200,AC,25.75,4884.701554
Job 283,Replace,3.68,200,AC,37.17,29494.5815
Job 284,Replace,3.37,63,AC,36.15,8543.735675
Job 285,Replace,2,250,AC,38.41,21433.75757
Job 286,Replace,2.07,90,AC,19.05,6847.444182
Job 287,Replace,3.23,200,ST,24.95,19420.20135
Job 288,Replace,2.88,63,AC,16.05,5764.992183
Job 289,Repair,2.25,90,ST,29.05,2477.908161
Job 290,Replace,3.72,200,AC,13.66,17118.31289
Job 291,Replace,1.97,315,AC,31.47,24000.78736
Job 292,Replace,1.25,90,CI,16.63,3584.254603
Job 293,Repair,1.65,125,AC,23.99,2761.603565
Job 294,Repair,2.04,50,ST,38.02,1423.4764
Job 295,Replace,2.14,90,AC,43.61,9015.582975
Job 296,Replace,1.12,90,AC,45.79,4670.09888
Job 297,Replace,2.15,450,AC,28.97,37783.54954
Job 298,Replace,2.1,90,CI,30.91,8215.160503
Job 299,Replace,3.59,63,AC,33.21,9431.280289
Job 300,Repair,2.72,315,CI,32.56,11409.64463
Job 301,Replace,1.36,125,CI,33.7,6267.583981
Job 302,Replace,2.91,90,AC,43.49,9712.68099
Job 303,Replace,1.93,90,AC,22.09,5661.890606
Job 304,Replace,3.86,63,CI,45.95,10804.17472
Job 305,Replace,4.15,63,AC,42.35,9347.611021
Job 306,Repair,4.12,63,AC,36.08,3655.776264
Job 307,Replace,2.72,63,AC,33.61,6690.733958
Job 308,Replace,4.23,250,ST,12.23,31975.2076
Job 309,Repair,2.41,90,ST,21.42,2897.160585
Job 310,Replace,1.19,90,CI,22.69,3499.076394
Job 311,Replace,2.15,200,ST,21.97,15696.76176
Job 312,Repair,2.1,90,AC,26.58,2756.379191
Job 313,Replace,2.76,63,CI,29.05,5968.933385
Job 314,Replace,4.7,200,AC,30.62,31823.68534
Job 315,Replace,2.61,63,AC,35.68,6680.129034
Job 316,Repair,2.55,200,ST,17.42,5080.431901
Job 317,Replace,2.11,200,CI,22.16,13593.10129
Job 318,Repair,2.87,90,AC,19.93,2937.533419
Job 319,Replace,2.7,63,AC,25.05,5531.344303
Job 320,Replace,1.69,250,AC,23.95,17062.46764
Job 321,Repair,4.14,315,CI,30.93,17287.95613
Job 322,Replace,2.17,50,AC,42.57,5179.993068
Job 323,Replace,3.67,90,AC,18.62,11417.66535
Job 324,Replace,2.09,63,AC,24.57,4469.870264
Job 325,Replace,3.96,50,AC,32.33,7887.95768
Job 326,Replace,2.14,125,AC,23.12,8747.233073
Job 327,Replace,1.57,90,AC,43.33,6419.375044
Job 328,Repair,2.72,90,ST,41.21,3348.436956
Job 329,Replace,2.41,90,CI,20.61,5759.994808
Job 330,Replace,2.87,250,ST,15.11,20669.01667
Job 331,Replace,2.2,90,AC,27.48,7541.73685
Job 332,Replace,2.1,90,AC,23.31,7374.784063
Job 333,Replace,2.87,50,CI,20.9,4963.713842
Job 334,Repair,2.43,125,AC,17.25,3172.120728
Job 335,Repair,2.09,90,AC,36.23,2747.951648
Job 336,Repair,3.48,125,AC,22.51,4642.205952
Job 337,Replace,1.29,90,AC,18.1,3632.086458
Job 338,Replace,3.1,125,CI,36.75,16288.32419
Job 339,Replace,1.76,90,AC,25.14,6962.187727
Job 340,Replace,4.32,200,AC,24.54,29330.96709
Job 341,Replace,3.02,250,CI,44.59,41116.63341
Job 342,Repair,1.7,63,AC,11.25,822.2379694
Job 343,Replace,3.45,90,ST,13.27,8850.891065
Job 344,Replace,1.82,90,AC,38.1,6870.420844
Job 345,Replace,3.58,200,CI,22.32,22689.59264
Job 346,Replace,1.99,125,AC,39.42,9763.798822
Job 347,Replace,3.08,200,AC,8.16,12046.44745
Job 348,Replace,2.91,125,AC,45.18,15468.67591
Job 349,Repair,3.47,450,ST,27.03,19458.06223
Job 350,Repair,2.08,125,AC,21.02,3693.196965
Job 351,Replace,2.83,315,AC,19.82,25366.09384
Job 352,Replace,1.82,90,AC,26.68,6396.044268
Job 353,Replace,2.52,125,AC,35.94,13219.02913
Job 354,Replace,-4.66,125,ST,38.2,23771.41925
Job 355,Repair,3.53,90,CI,35.19,4650.611746
Job 356,Replace,3.18,63,ST,33.26,7487.133621
Job 357,Repair,2.03,90,AC,22.32,2250.277668
Job 358,Repair,4.92,63,AC,13.1,2707.269625
Job 359,Replace,3.06,450,AC,30.7,59740.05139
Job 360,Replace,1.73,90,AC,49.1,7842.810789
Job 361,Replace,3.27,125,AC,24.32,15762.45336
Job 362,Replace,3.07,90,CI,13.79,6784.339381
Job 363,Replace,1.7,125,AC,16.65,6002.037806
Job 364,Replace,3.91,63,AC,30.21,9209.079734
Job 365,Replace,1.61,63,CI,14.74,2471.235699
Job 366,Replace,2.87,90,ST,30.37,11288.22147
Job 367,Replace,3.58,315,AC,23.2,40265.41416
Job 368,Replace,2.18,63,CI,31.78,6072.875778
Job 369,Replace,1.64,125,AC,25.74,6774.43971
Job 370,Replace,2.77,200,AC,9.97,13029.09232
Job 371,Replace,3.56,200,AC,28.48,28098.32719
Job 372,Repair,3.6,450,AC,17.99,15604.3141
Job 373,Replace,3.31,90,AC,20.75,9133.178375
Job 374,Replace,1.16,90,AC,28.91,4457.627001
Job 375,Repair,2.66,63,CI,31.16,1959.895569
Job 376,Replace,2.09,90,AC,15.87,5419.900928
Job 377,Repair,1.99,250,AC,26.57,6242.797759
Job 378,Replace,2.93,90,AC,13.17,7010.280392
Job 379,Replace,2.52,90,AC,38.25,10470.27701
Job 380,Replace,2.08,63,ST,22.35,4739.481555
Job 381,Repair,1.7,200,ST,22.25,3769.917929
Job 382,Replace,2.8,200,CI,29.26,23298.39092
Job 383,Replace,2.22,50,CI,34.46,4635.097392
Job 384,Replace,3.96,63,AC,17.44,8620.644255
Job 385,Replace,2.67,90,ST,30.65,8862.675075
Job 386,Replace,2.02,90,CI,25.98,7180.217698
Job 387,Replace,2.5,50,ST,14.89,3720.734117
Job 388,Replace,1.12,90,AC,28.94,2929.175671
Job 389,Replace,1.94,450,AC,31.73,33412.53632
Job 390,Replace,3.16,200,CI,23.55,20453.33775
Job 391,Repair,2.13,63,AC,37.15,2208.024307
Job 392,Replace,3.34,90,CI,32.56,13537.69096
Job 393,Replace,2.32,63,AC,30.45,6502.245838
Job 394,Replace,1.33,50,CI,23.94,2554.780573
Job 395,Repair,2.68,200,AC,23.2,6906.375456
Job 396,Replace,1.72,90,AC,28.99,6051.727457
Job 397,Replace,1.77,250,AC,37.12,18756.37822
Job 398,Replace,2.84,63,AC,27.3,6426.94593
Job 399,Repair,2.27,50,ST,37.32,1744.345308
Job 400,Replace,2.04,200,AC,17.09,14018.13241
Job 401,Replace,2.39,125,CI,26.09,11677.25401
Job 402,Replace,3.9,50,ST,17.11,6139.729387
Job 403,Replace,4.12,90,AC,12.08,9739.409
Job 404,Replace,2.11,200,AC,17.67,14613.15041
Job 405,Replace,2.33,90,AC,16.45,6739.563776
Job 406,Replace,1.62,90,CI,29.81,NA
Job 407,Repair,2.97,50,ST,36.61,2276.401655
Job 408,Repair,2.43,63,AC,26.06,2213.271881
Job 409,Replace,1.21,125,AC,20.18,5070.498645
Job 410,Repair,3.49,125,ST,27.57,6372.543029
Job 411,Replace,3.53,50,AC,22.24,5968.77859
Job 412,Replace,1.96,125,CI,19.97,8495.427771
Job 413,Repair,1.6,250,CI,11.93,3897.504414
Job 414,Repair,1.7,90,AC,17.4,1604.015695
Job 415,Replace,3.7,90,ST,19.61,10146.94391
Job 416,Replace,2.09,200,AC,17.51,10752.11028
Job 417,Replace,2.29,90,AC,9.8,5356.79447
Job 418,Replace,3.32,315,CI,34.95,35378.14271
Job 419,Replace,2.11,125,AC,21.81,8244.118293
Job 420,Replace,1.85,63,CI,10.85,2476.276088
Job 421,Replace,1.58,90,CI,16.41,4348.797546
Job 422,Replace,3.33,315,AC,17.43,27157.94599
Job 423,Replace,1.58,315,CI,30.58,16930.8654
Job 424,Replace,1.96,125,CI,29.83,8551.700271
Job 425,Repair,3.48,90,AC,15.36,3198.390813
Job 426,Replace,2.51,90,ST,21.18,8331.118972
Job 427,Repair,4.42,125,AC,21.55,6891.937641
Job 428,Replace,2.02,90,AC,35.69,7717.436589
Job 429,Replace,4.72,125,CI,13.04,17967.52597
Job 430,Replace,2.15,63,AC,23.85,5231.22766
Job 431,Repair,2.02,90,AC,29.94,2795.184821
Job 432,Replace,2.08,250,CI,10.46,11946.82164
Job 433,Replace,2.77,63,AC,30.36,6097.635614
Job 434,Replace,2.65,63,AC,23.87,6685.393331
Job 435,Replace,3.64,125,AC,19.75,14103.817
Job 436,Replace,3.52,90,CI,13.91,9396.261277
Job 437,Replace,3.52,90,AC,21.19,9588.849696
Job 438,Replace,4.56,50,AC,17.59,7654.227785
Job 439,Replace,1.56,90,AC,35.5,6600.539411
Job 440,Repair,3.74,250,ST,10.92,8019.622404
Job 441,Replace,1.7,315,CI,24.18,16278.68749
Job 442,Replace,3.35,50,ST,14.93,5811.191661
Job 443,Replace,2.66,90,AC,35.41,8552.346088
Job 444,Replace,3.83,90,ST,39.62,17310.67935
Job 445,Replace,3.23,63,ST,24.73,7495.402682
Job 446,Repair,1.47,63,AC,12.46,815.3603227
Job 447,Replace,2.28,200,AC,13.58,15579.74654
Job 448,Replace,2.88,125,AC,13.57,10897.61841
Job 449,Replace,2.99,63,ST,22.98,6657.441625
Job 450,Replace,2.33,450,AC,37.98,43439.70143
Job 451,Replace,2.34,50,ST,14.47,3447.750054
Job 452,Replace,2.43,315,AC,46.31,36969.89124
Job 453,Repair,2.67,50,AC,11.65,921.690528
Job 454,Repair,2.59,63,AC,32.33,2200.423343
Job 455,Replace,2.97,125,ST,21.32,12646.1526
Job 456,Replace,4.13,125,AC,16.8,16636.21833
Job 457,Repair,2.5,315,CI,10.19,6384.713993
Job 458,Replace,2.38,200,AC,25.38,15086.88858
Job 459,Replace,3.44,90,ST,31.51,9659.340924
Job 460,Replace,1.91,90,CI,18.66,4991.156113
Job 461,Replace,2.15,200,AC,28.23,15952.57188
Job 462,Replace,1.52,200,ST,41.63,12271.77008
Job 463,Repair,1.6,63,AC,25.96,1354.812324
Job 464,Repair,2.39,63,AC,14.45,1639.506366
Job 465,Repair,1.65,125,ST,9.86,1791.639474
Job 466,Repair,2.58,63,CI,39.13,2252.460982
Job 467,Replace,3.88,125,CI,36.72,23157.18055
Job 468,Repair,2.39,125,AC,23.32,3781.219356
Job 469,Replace,1.53,200,AC,26.62,11218.35861
Job 470,Replace,3.02,90,AC,20.33,7243.061138
Job 471,Replace,4.22,50,AC,23.48,7391.257666
Job 472,Replace,2.35,63,CI,35.85,5918.15414
Job 473,Replace,2.52,450,AC,13.73,30519.7709
Job 474,Repair,1.67,63,AC,37.21,1400.52674
Job 475,Repair,2.26,315,ST,20.92,7918.301562
Job 476,Replace,2.93,63,AC,24.34,6105.527494
Job 477,Replace,1.96,125,AC,30.89,10404.40579
Job 478,Replace,3.22,125,AC,27.74,13271.3875
Job 479,Replace,3.26,250,CI,34.63,29497.81314
Job 480,Replace,3.31,90,AC,31.83,10266.54054
Job 481,Replace,4.37,63,ST,38.55,11780.49096
Job 482,Replace,2.84,63,ST,20.39,5289.511628
Job 483,Replace,2.56,63,CI,17.14,4662.044305
Job 484,Repair,2.17,63,AC,29.85,2161.316708
Job 485,Repair,4.38,63,CI,24.96,3663.658064
Job 486,Repair,3.92,90,AC,43.66,5460.524326
Job 487,Repair,4.61,125,AC,29.91,6827.564231
Job 488,Replace,2.5,125,ST,22.66,9558.814713
Job 489,Repair,3.49,200,ST,33.54,11299.95079
Job 490,Replace,3.95,250,AC,16.63,28773.10328
Job 491,Replace,3.43,90,AC,16.2,7989.625471
Job 492,Replace,3.8,125,AC,17.18,13244.5131
Job 493,Repair,2.71,250,AC,20.68,7997.802387
Job 494,Replace,3.06,125,AC,23.81,15177.56701
Job 495,Replace,2.09,90,AC,25.24,6332.76874
Job 496,Replace,3.36,125,AC,31.57,16867.26796
Job 497,Replace,1.84,200,CI,28.71,13233.82001
